Palabras Spam No_spam Total
sculpture 0 1 1
sdryb 0 1 1
sea 0 10 10
search 2 10 12
searching 0 4 4
season 0 2 2
seat 0 1 1
sec 0 5 5
second 0 11 11
secondary 0 1 1
seconds 0 3 3
secret 7 4 11
secretary 0 1 1
secretly 2 0 2
sed 0 4 4
see 8 83 91
seeing 0 10 10
seekers 0 1 1
seeking 0 1 1
seem 1 1 2
seemed 0 3 3
seems 0 5 5
seen 0 6 6
sef 0 1 1
seh 0 1 1
sehwag 0 1 1
selected 15 3 18
selection 3 0 3
self 2 3 5
selfish 0 1 1
selflessness 0 1 1
sell 1 5 6
selling 0 2 2
sells 0 2 2
semester 0 6 6
semi 0 1 1
sen 0 4 4
send 47 85 132
sender 1 2 3
sending 0 8 8
sends 0 1 1
senor 0 1 1
senrd 0 1 1
sense 0 6 6
sensible 0 1 1
sent 7 35 42
sentence 0 2 2
sentiment 0 1 1
sept 2 0 2
september 0 1 1
series 0 4 4
serious 0 3 3
seriously 0 7 7
served 0 1 1
server 0 1 1
service 36 1 37
services 12 1 13
serving 0 2 2
set 1 11 12
setting 0 1 1
settings 1 1 2
settle 0 3 3
settled 0 4 4
settling 0 1 1
seven 0 2 2
seventeen 0 1 1
several 0 1 1
sex 5 1 6
sextextuk 1 0 1
sexual 1 0 1
sexy 13 7 20
sha 0 3 3
shade 0 1 1
shadow 0 1 1
shag 1 0 1
shagged 2 0 2
shakara 0 1 1
shake 0 1 1
shakespeare 0 1 1
shaking 0 1 1
shall 0 20 20
shanghai 0 1 1
shant 0 1 1
shaping 0 1 1
share 0 3 3
shared 0 1 1
sharing 0 1 1
shattered 0 1 1
shaved 0 1 1
shb 0 1 1
shd 0 5 5
she 0 77 77
sheet 0 1 1
sheets 0 3 3
sheffield 0 2 2
shell 0 1 1
shelves 0 1 1
sherawat 0 1 1
shes 0 1 1
shesil 0 2 2
shhhhh 0 1 1
shifad 0 1 1
shijas 0 2 2
shinco 1 0 1
shining 0 1 1
shiny 0 1 1
shipped 0 1 1
shipping 0 2 2
shirt 0 3 3
shirts 0 2 2
shit 0 22 22
shitin 0 1 1
shitinnit 0 1 1
shitload 0 1 1
shitstorm 0 1 1
shivratri 0 1 1
shld 0 1 1
shock 1 1 2
shocking 0 1 1
shoes 0 1 1
shoot 0 3 3
shop 6 9 15
shopping 3 13 16
shoranur 0 1 1
shore 0 2 2
short 0 5 5
shortage 0 2 2
shortcode 1 0 1
shorter 0 3 3
shortly 2 0 2
shot 0 2 2
shoul 0 1 1
should 5 49 54
shoulders 0 1 1
shouldn 0 4 4
shouted 0 2 2
shouting 0 1 1
shove 0 1 1
shoving 0 1 1
show 2 13 15
shower 0 6 6
showers 0 1 1
showing 0 7 7
showrooms 0 1 1
shows 17 5 22
shpain 0 2 2
shracomorsglsuplt 1 0 1
shrek 0 1 1
shrink 0 1 1
shudvetold 0 1 1
shuhui 0 5 5
shun 0 1 1
shut 0 1 1
shy 0 2 2
sian 0 2 2
sic 1 0 1
sick 0 8 8
side 0 8 8
sigh 0 1 1
sighs 0 4 4
sight 0 3 3
sign 2 2 4
signal 0 1 1
significance 0 1 1
significant 0 1 1
signin 0 1 1
signing 0 2 2
siguviri 0 1 1
silence 0 1 1
silent 0 6 6
silently 0 2 2
silly 0 1 1
silver 0 1 1
sim 2 1 3
simonwatson 1 0 1
simple 0 8 8
simpler 0 2 2
simply 2 2 4
simulate 0 1 1
since 1 17 18
sinco 0 2 2
sindu 0 1 1
sing 1 1 2
singing 0 1 1
single 0 3 3
singles 4 0 4
sink 0 1 1
sip 0 1 1
sipix 3 0 3
sips 0 1 1
sir 1 23 24
sirji 0 1 1
sis 0 12 12
sister 0 8 8
sit 0 3 3
site 0 3 3
sitll 0 1 1
sitter 0 1 1
sittin 0 1 1
sitting 0 4 4
situation 0 6 6
siva 0 1 1
six 2 1 3
size 0 1 1
skilgme 2 0 2
skillgame 2 0 2
skills 1 0 1
skip 0 1 1
skirt 0 1 1
sky 1 0 1
skype 0 2 2
skyped 0 2 2
slaaaaave 0 1 1
slap 0 3 3
slave 0 6 6
sleep 0 34 34
sleeping 0 16 16
sleepingwith 1 0 1
sleepwell 0 2 2
sleepy 0 1 1
slept 0 3 3
slice 0 2 2
slices 0 1 1
slide 1 0 1
sliding 0 1 1
slightly 0 1 1
slip 0 1 1
slippers 0 3 3
slippery 0 1 1
slo 1 0 1
slob 0 1 1
slots 0 2 2
slovely 0 1 1
slow 1 4 5
slower 1 0 1
slowing 0 1 1
slowly 0 7 7
slurp 0 1 1
small 0 7 7
smart 2 0 2
smartcall 1 0 1
smarter 0 1 1
smashed 0 1 1
smear 0 1 1
smell 0 1 1
smeone 0 2 2
smidgin 0 1 1
smile 0 19 19
smiled 0 1 1
smiles 0 1 1
smiling 0 6 6
smith 1 1 2
smoke 0 12 12
smoked 0 1 1
smokes 0 3 3
smokin 0 1 1
smoking 0 2 2
smoothly 0 1 1
sms 23 11 34
smsco 1 0 1
smsrewards 1 0 1
smsservices 1 0 1
smth 0 6 6
snake 0 2 2
snap 1 0 1
snatch 0 1 1
snickering 0 1 1
snogs 0 1 1
snoring 0 1 1
snow 0 8 8
snowball 0 1 1
snowman 0 2 2
sochte 0 1 1
social 0 3 3
sofa 0 5 5
soft 0 3 3
software 0 2 2
soil 0 1 1
soiree 1 1 2
sol 3 0 3
soladha 0 1 1
solve 0 4 4
solved 0 2 2
some 4 75 79
somebody 2 7 9
someone 10 30 40
someplace 0 1 1
somerset 0 1 1
somethin 0 3 3
something 0 43 43
sometime 0 1 1
sometimes 0 7 7
sometme 0 1 1
somewhat 0 1 1
somewhere 0 6 6
somewheresomeone 0 1 1
somewhr 0 1 1
somtimes 0 1 1
sonathaya 0 1 1
sonetimes 0 1 1
song 1 5 6
songs 0 2 2
sony 5 1 6
sonyericsson 4 0 4
soo 0 1 1
soon 2 36 38
sooner 0 2 2
soonlots 0 1 1
sooo 0 1 1
soooo 0 1 1
sooooo 0 1 1
sophas 0 1 1
sore 0 2 2
sorrows 0 1 1
sorry 3 95 98
sort 1 6 7
sorta 0 1 1
sorted 0 2 2
sorting 0 1 1
sorts 0 1 1
sory 0 2 2
soryda 0 2 2
soul 0 2 2
sound 1 7 8
sounding 0 1 1
sounds 1 10 11
soundtrack 1 0 1
soup 0 1 1
source 0 2 2
south 0 4 4
souveniers 0 1 1
space 1 3 4
spaces 0 1 1
spageddies 0 1 1
spain 0 1 1
spanish 0 1 1
spare 0 2 2
spark 0 1 1
spatula 0 1 1
speak 7 18 25
speaking 0 2 2
special 15 22 37
speciale 1 0 1
specialisation 0 1 1
specialise 0 1 1
specially 5 0 5
specific 0 1 1
specs 0 1 1
speechless 0 1 1
speed 1 2 3
speedchat 1 0 1
speeding 0 1 1
speling 0 1 1
spell 0 3 3
spelling 0 1 1
spend 0 7 7
spending 0 2 2
spent 0 7 7
spiffing 0 1 1
spile 0 1 1
spirit 0 1 1
spk 0 3 3
spl 0 3 3
splashmobile 1 0 1
splendid 0 1 1
splleing 0 1 1
spoil 0 1 1
spoiled 0 1 1
spoilt 0 1 1
spoke 0 4 4
spoken 0 2 2
sponsors 0 1 1
spontaneously 0 1 1
spook 2 0 2
spoons 0 1 1
sport 4 0 4
sports 1 1 2
sportsx 0 1 1
spose 0 1 1
spotty 0 1 1
sppok 1 0 1
spreadsheet 0 1 1
spree 3 0 3
spring 0 2 2
sptv 1 0 1
spys 0 1 1
squatting 0 1 1
squeeeeeze 0 1 1
squid 0 1 1
squishy 0 1 1
srs 0 1 1
srsly 0 1 1
srt 0 1 1
sry 0 1 1
stable 0 1 1
stadium 1 0 1
staff 0 2 2
stagwood 0 1 1
stairs 0 1 1
stalk 0 1 1
stalking 0 1 1
stamped 2 0 2
stamps 0 2 2
stand 0 4 4
standard 3 0 3
standing 0 2 2
stands 0 1 1
stapati 0 1 1
star 2 0 2
staring 0 1 1
starring 0 1 1
stars 1 2 3
starshine 0 1 1
start 4 17 21
started 0 9 9
starting 2 2 4
starts 3 5 8
starving 0 1 1
starwars 3 0 3
stash 0 1 1
stated 0 1 1
statement 7 0 7
statements 0 1 1
station 0 5 5
status 0 1 1
stay 2 13 15
stayin 0 2 2
staying 0 4 4
stays 0 1 1
stchoice 1 0 1
std 7 0 7
stdtxtrate 1 0 1
steak 0 1 1
steal 0 1 1
stealing 0 1 1
steam 0 2 2
steamboat 0 1 1
steed 0 1 1
stereo 0 1 1
stereophonics 1 0 1
sterling 0 1 1
stewartsize 1 0 1
sth 0 1 1
stick 0 1 1
stifled 0 1 1
still 5 92 97
stock 0 2 2
stocked 0 1 1
stockport 2 0 2
stomach 0 2 2
stomps 0 1 1
stoners 0 1 1
stool 0 1 1
stop 64 23 87
stopbcm 1 0 1
stopcost 1 0 1
stopped 0 2 2
stops 0 1 1
stopsms 1 0 1
stoptx 1 0 1
stoptxt 4 0 4
stoptxtstop 1 0 1
store 6 2 8
stores 0 2 2
stories 1 0 1
storming 0 1 1
story 0 14 14
str 2 3 5
straight 2 2 4
strain 0 1 1
strange 0 1 1
stranger 0 3 3
stream 1 0 1
street 1 4 5
stress 0 1 1
stressed 0 1 1
stretch 0 1 1
strewn 0 1 1
strict 0 1 1
strike 0 1 1
stripes 0 1 1
strips 0 1 1
strokes 1 0 1
strong 2 2 4
strongly 0 1 1
struggling 0 1 1
sts 0 1 1
stubborn 0 1 1
stuck 0 1 1
studdying 0 1 1
studentfinancial 0 1 1
students 0 4 4
studio 0 1 1
study 0 7 7
studying 0 2 2
studyn 0 1 1
stuff 1 22 23
stuffed 0 1 1
stupid 0 4 4
style 0 6 6
styling 0 1 1
stylish 0 3 3
stylist 0 1 1
sub 7 1 8
submitted 0 1 1
submitting 0 1 1
subpoly 2 0 2
subs 5 0 5
subscribe 1 0 1
subscribed 2 0 2
subscriber 4 0 4
subscription 2 0 2
subscriptions 1 0 1
subscriptn 1 0 1
subscrition 1 0 1
subtoitles 0 1 1
success 0 1 1
successful 0 2 2
successfully 0 2 2
such 0 1 1
sucker 0 1 1
suckers 0 1 1
sucks 0 3 3
sue 1 0 1
suffer 0 1 1
sufficient 1 1 2
suganya 0 1 1
sugar 0 2 2
sugardad 0 1 1
suggest 0 2 2
suite 11 1 12
suits 0 1 1
sullivan 1 0 1
sum 0 3 3
suman 0 1 1
summer 3 1 4
summers 1 0 1
summon 0 1 1
sun 1 11 12
sunday 0 8 8
sundayish 0 1 1
sunny 0 3 3
sunoco 0 1 1
sunroof 0 1 1
sunscreen 0 1 1
sunshine 7 1 8
suntec 0 3 3
sup 0 4 4
super 1 3 4
superb 1 1 2
superior 0 2 2
supervisor 0 3 3
suply 0 1 1
supose 0 1 1
suppliers 1 0 1
supplies 0 1 1
supply 3 0 3
support 0 4 4
supports 0 1 1
supposed 0 7 7
supreme 0 1 1
suprman 3 0 3
sura 0 4 4
sure 0 45 45
surely 0 4 4
surfing 0 4 4
surgical 0 1 1
surname 0 1 1
surprise 2 5 7
surprised 0 3 3
surrounded 0 1 1
survey 1 0 1
surya 0 1 1
sutra 0 1 1
sux 0 2 2
suzy 1 1 2
svc 1 0 1
swalpa 0 1 1
swann 0 1 1
swap 1 0 1
swatch 0 1 1
sway 0 1 1
swear 0 1 1
sweatter 0 1 1
sweet 0 19 19
sweetest 0 2 2
sweetheart 0 1 1
sweetie 0 2 2
sweets 0 2 2
swell 0 1 1
swimming 0 1 1
swimsuit 0 1 1
swing 0 8 8
swiss 0 1 1
switch 1 1 2
swt 0 3 3
swtheart 0 2 2
syllabus 0 1 1
symbol 1 0 1
sympathetic 0 1 1
syria 0 1 1
system 0 4 4
systems 0 1 1
table 0 2 2
tablet 0 1 1
tablets 0 3 3
tackle 0 1 1
tacos 0 1 1
tactful 0 1 1
tactless 0 1 1
tag 0 1 1
tagged 0 1 1
tahan 0 1 1
tai 0 1 1
take 10 72 82
taken 0 4 4
takes 3 6 9
takin 0 2 2
taking 1 10 11
talent 0 2 2
talents 0 1 1
talk 2 24 26
talked 0 1 1
talkin 0 1 1
talking 0 8 8
talks 0 1 1
tall 0 1 1
tallent 0 1 1
tampa 0 6 6
tank 0 2 2
tap 0 1 1
tape 0 1 1
tariffs 2 0 2
tarot 1 0 1
taste 0 2 2
tat 0 4 4
tata 0 1 1
tattoos 1 0 1
tau 0 1 1
taught 0 1 1
taxes 0 1 1
taxi 0 2 2
taxless 0 1 1
taxt 0 1 1
taylor 0 2 2
tayseer 0 2 2
tcr 4 0 4
tcs 2 0 2
tddnewsletter 1 0 1
tea 0 4 4
teach 0 4 4
teacher 0 2 2
teachers 0 1 1
teaches 0 2 2
teaching 0 2 2
team 2 2 4
tear 0 3 3
tears 0 2 2
tease 0 1 1
teasing 0 5 5
tech 0 2 2
technical 0 2 2
technologies 0 1 1
tee 0 2 2
teenager 1 0 1
teeth 0 1 1
teju 0 1 1
tel 0 7 7
telephone 1 0 1
telephonic 0 1 1
teletext 1 0 1
tell 9 68 77
telling 0 7 7
tells 1 2 3
telly 0 2 2
telphone 0 1 1
telugu 0 2 2
temp 0 1 1
temper 0 1 1
temple 0 3 3
ten 1 10 11
tenants 3 0 3
tendencies 0 1 1
tenerife 6 0 6
tension 0 1 1
teresa 0 1 1
term 2 2 4
terms 5 2 7
ternal 0 1 1
terrible 0 3 3
terrific 0 1 1
terry 0 1 1
tescos 0 1 1
tessy 0 2 2
test 0 13 13
testing 0 2 2
tests 0 3 3
tex 0 1 1
text 65 46 111
textand 1 0 1
textbook 0 1 1
textbuddy 2 0 2
textcomp 2 0 2
textin 0 1 1
texting 0 3 3
textoperator 2 0 2
textpod 2 0 2
texts 12 6 18
tgxxrz 1 0 1
than 1 24 25
thangam 0 3 3
thank 1 20 21
thanks 10 37 47
thanksgiving 0 2 2
thankyou 0 1 1
thanx 0 25 25
thasa 0 1 1
that 18 312 330
thats 0 26 26
the 104 549 653
theacusations 0 1 1
theater 0 1 1
theatre 0 2 2
thecd 0 1 1
thedailydraw 1 0 1
their 1 7 8
theirs 1 0 1
thekingshead 0 1 1
them 0 52 52
themed 0 1 1
themob 4 0 4
then 8 136 144
thenampet 0 1 1
theory 0 3 3
thepub 0 1 1
there 10 132 142
theres 0 1 1
these 1 10 11
thesedays 0 1 1
thesis 0 2 2
thew 0 1 1
they 10 68 78
theyre 0 1 1
thfeb 1 0 1
thgt 0 2 2
thia 0 1 1
thin 0 1 1
thing 1 35 36
things 0 28 28
think 2 85 87
thinked 0 1 1
thinkin 0 4 4
thinking 0 10 10
thinks 7 4 11
thinl 0 1 1
thirtyeight 1 0 1
thirunelvali 0 1 1
this 49 148 197
thk 0 33 33
thkin 0 1 1
thm 0 1 1
thmarch 1 0 1
thnk 0 5 5
thnq 1 0 1
thnx 0 1 1
tho 0 10 10
those 0 14 14
thot 0 2 2
though 1 15 16
thought 1 26 27
thoughts 0 2 2
thousands 1 0 1
thread 0 1 1
threats 0 1 1
three 0 4 4
threw 0 1 1
thriller 0 1 1
throat 0 3 3
through 0 7 7
throw 0 4 4
throwing 0 1 1
throws 0 1 1
thru 0 5 5
ths 0 1 1
tht 0 5 5
thts 0 4 4
thuglyfe 0 1 1
thurs 0 1 1
thursday 0 3 3
thus 0 1 1
thx 0 2 2
thy 0 1 1
tick 0 1 1
ticket 0 3 3
tickets 1 4 5
tie 0 1 1
tiempo 0 1 1
tiger 1 0 1
tight 0 1 1
tightly 0 1 1
tigress 0 1 1
tihs 0 1 1
tiime 0 1 1
til 0 16 16
till 2 14 16
tim 0 1 1
time 10 120 130
times 0 19 19
timin 0 1 1
timing 0 3 3
timings 0 1 1
tired 0 10 10
tiring 0 1 1
tirunelvai 0 1 1
tirunelvali 0 1 1
tirupur 0 1 1
tis 0 3 3
tissco 0 2 2
title 3 0 3
titles 3 0 3
tiwary 0 2 2
tiz 0 1 1
tkls 1 0 1
tkts 4 0 4
tlk 0 2 2
tlp 3 0 3
tming 0 1 1
tmorow 0 1 1
tmorrow 0 1 1
tmr 0 21 21
tmrw 0 2 2
tncs 5 0 5
toa 0 3 3
tobacco 0 1 1
toclaim 2 0 2
today 13 83 96
todays 12 2 14
todo 0 1 1
together 0 7 7
tok 0 2 2
token 0 1 1
tol 0 1 1
told 0 30 30
toledo 0 1 1
tolerat 0 1 1
toll 0 2 2
tom 1 2 3
tomarrow 0 2 2
tome 0 1 1
tomeandsaid 0 1 1
tomo 0 14 14
tomorro 0 1 1
tomorrow 6 51 57
tomorw 0 1 1
tone 23 0 23
tones 16 0 16
tonght 0 1 1
tonight 2 28 30
tonite 0 6 6
tons 1 1 2
too 1 67 68
took 0 15 15
tookplace 0 1 1
tool 0 2 2
tooo 0 1 1
toot 0 2 2
tooth 2 0 2
toothpaste 0 1 1
tootsie 0 1 1
top 12 4 16
topic 0 1 1
topped 1 0 1
toppoly 1 0 1
tor 0 1 1
torch 0 3 3
torrents 0 1 1
tortilla 0 2 2
tosend 0 1 1
toshiba 0 1 1
toss 0 1 1
tot 0 10 10
total 1 1 2
totally 0 3 3
totes 0 1 1
touch 1 10 11
touched 0 2 2
tough 0 6 6
toughest 0 1 1
tour 2 2 4
towards 0 6 6
town 1 12 13
toxic 1 0 1
track 0 5 5
trackmarque 1 0 1
trade 0 2 2
traditions 0 1 1
traffic 0 1 1
train 0 5 5
training 0 4 4
trainners 0 1 1
trains 0 1 1
transaction 0 4 4
transcribing 0 1 1
transfer 0 2 2
transfered 0 1 1
transferred 1 0 1
transfr 0 1 1
transfred 0 1 1
transport 0 1 1
trash 0 1 1
trauma 0 1 1
trav 1 0 1
travel 2 1 3
traveling 0 1 1
treat 0 11 11
treated 0 1 1
trebles 1 0 1
tree 0 3 3
trek 0 1 1
trends 0 1 1
trial 1 0 1
tried 8 4 12
trip 3 8 11
trips 0 1 1
triumphed 0 1 1
trivia 1 0 1
tron 0 1 1
trouble 0 5 5
troubleshooting 0 1 1
truck 0 1 1
true 1 15 16
truffles 0 2 2
truly 1 2 3
truro 0 1 1
trust 0 7 7
truth 0 8 8
try 6 21 27
tryin 0 1 1
trying 10 16 26
tsandcs 2 0 2
tscs 4 0 4
tsunamis 0 2 2
ttyl 0 5 5
tue 0 1 1
tues 0 2 2
tuesday 0 4 4
tui 0 1 1
tuition 0 5 5
tul 0 1 1
tulip 2 0 2
tunde 0 1 1
tune 1 0 1
tunji 0 1 1
turn 0 2 2
turned 0 1 1
turning 0 1 1
turns 0 4 4
twat 0 1 1
twelve 0 2 2
twenty 0 1 1
twice 0 5 5
twiggs 0 1 1
twilight 2 0 2
twittering 0 1 1
two 0 20 20
txt 110 7 117
txtauction 3 0 3
txtin 3 0 3
txting 6 1 7
txtno 2 0 2
txts 7 0 7
txttowin 2 0 2
txtx 1 0 1
tyler 0 2 2
type 0 8 8
types 1 0 1
typical 0 1 1
tyrone 4 0 4
ubandu 0 1 1
ubi 0 1 1
ugadi 0 1 1
ugh 0 11 11
uhhhhrmm 0 1 1
uin 0 1 1
uks 1 0 1
ultimately 0 1 1
ultimatum 0 2 2
umma 0 5 5
ummma 0 1 1
ummmmmaah 0 2 2
unable 0 2 2
unbelievable 0 1 1
unbreakable 1 0 1
unclaimed 1 0 1
uncle 0 6 6
uncles 0 3 3
uncomfortable 0 1 1
unconditionally 0 1 1
unconscious 0 1 1
unconsciously 0 1 1
uncountable 0 1 1
under 0 4 4
understand 0 7 7
understanding 0 1 1
understood 0 1 1
underwear 0 2 2
undrstndng 0 1 1
unemployed 0 1 1
unfolds 0 1 1
unfortunately 0 2 2
unfortuntly 0 1 1
unhappy 0 1 1
uni 0 3 3
uniform 0 1 1
unique 1 2 3
united 1 0 1
unjalur 0 1 1
unkempt 1 0 1
unknown 0 2 2
unless 0 4 4
unlimited 4 3 7
unmits 0 1 1
unnecessarily 0 1 1
unni 0 1 1
unredeemed 2 0 2
unsold 0 4 4
unspoken 0 1 1
unsub 6 0 6
unsubscribe 13 0 13
unsubscribed 1 0 1
untamed 1 0 1
until 6 15 21
unusual 0 1 1
upd 1 0 1
updat 0 1 1
update 10 2 12
upgrade 3 0 3
upgrdcentre 1 0 1
upload 1 0 1
upping 0 1 1
ups 0 1 1
upset 0 2 2
upstairs 0 1 1
upto 1 1 2
uptown 1 0 1
urawinner 2 0 2
ure 0 3 3
urfeeling 0 1 1
urgent 40 5 45
urgently 0 2 2
urgnt 0 4 4
urgoin 0 1 1
urgran 0 1 1
urination 0 1 1
url 0 3 3
urmom 0 1 1
urn 0 2 2
urself 0 4 4
usa 1 0 1
usb 0 2 2
usc 0 2 2
use 5 22 27
used 1 8 9
useful 0 2 2
user 3 1 4
usf 0 5 5
usher 2 0 2
using 0 4 4
usmle 0 1 1
usps 0 1 1
usual 0 7 7
usually 0 5 5
utele 1 0 1
utter 0 2 2
uwana 0 1 1
uwant 0 1 1
vaazhthukkal 0 2 2
vaguely 0 1 1
vale 0 1 1
valentine 0 3 3
valentines 2 7 9
valid 18 0 18
valuable 0 2 2
valued 5 1 6
values 0 1 1
varaya 0 1 1
vargu 0 1 1
various 1 1 2
varunnathu 0 1 1
vary 5 0 5
vasai 0 1 1
vat 1 0 1
vatian 1 0 1
vava 0 2 2
vday 0 2 2
vegetables 0 3 3
veggie 0 1 1
vehicle 0 1 1
velachery 0 1 1
velly 0 1 1
venaam 0 1 1
venugopal 0 1 1
verify 3 0 3
verifying 0 1 1
version 0 3 3
very 1 43 44
vettam 0 3 3
via 1 6 7
vibrate 0 1 1
vibrator 0 1 1
victors 0 1 1
vid 1 0 1
video 16 1 17
videochat 2 0 2
videophones 2 0 2
videosound 1 0 1
videosounds 1 0 1
vijay 0 2 2
vikky 0 3 3
vill 0 1 1
village 0 3 3
violated 0 2 2
violence 0 1 1
violet 2 0 2
vip 2 0 2
vipclub 1 0 1
virgin 1 0 1
virgins 1 0 1
visionsms 1 0 1
visit 5 4 9
visiting 0 1 1
visitor 0 1 1
visitors 0 1 1
vitamin 0 1 1
viva 0 1 1
voda 3 0 3
vodafone 3 0 3
vodka 0 3 3
voice 0 6 6
voicemail 3 0 3
voila 0 1 1
volcanoes 0 1 1
vomit 0 2 2
vomitin 0 1 1
vomiting 0 1 1
vote 1 1 2
voucher 11 0 11
vouchers 15 0 15
vpod 1 0 1
vry 0 3 3
vth 0 1 1
waaaat 0 1 1
wad 0 1 1
wadebridge 0 1 1
wah 0 4 4
wahala 0 1 1
wahay 0 1 1
waheed 0 2 2
wahleykkum 0 1 1
waht 0 1 1
wait 1 44 45
waited 0 1 1
waitin 0 3 3
waiting 11 24 35
wake 0 15 15
waking 0 5 5
wales 1 1 2
waliking 0 1 1
walk 1 8 9
walkabout 0 1 1
walked 0 3 3
walkin 0 1 1
walking 0 4 4
wall 0 1 1
wallet 0 1 1
walls 0 2 2
walmart 0 2 2
walsall 0 1 1
wan 3 28 31
wana 0 10 10
wanna 8 20 28
want 14 99 113
wanted 1 18 19
wanting 1 2 3
wants 1 12 13
wap 6 0 6
waqt 0 1 1
warm 2 6 8
warming 0 1 1
warning 0 1 1
warranty 1 0 1
was 5 106 111
washob 0 1 1
wasn 0 4 4
waste 0 5 5
wasted 0 1 1
wasting 0 1 1
wat 1 58 59
watch 0 20 20
watches 0 1 1
watchin 0 1 1
watching 0 21 21
water 0 6 6
watever 0 1 1
watevr 0 1 1
wating 0 1 1
wats 0 4 4
watts 0 1 1
wavering 0 1 1
waves 0 1 1
waxsto 0 1 1
way 1 67 68
weak 0 3 3
weakness 0 1 1
weaknesses 0 1 1
wear 0 3 3
wearing 0 2 2
weaseling 0 1 1
weasels 0 1 1
weather 0 5 5
web 3 0 3
webpage 0 1 1
website 1 3 4
wed 1 4 5
weddin 0 1 1
wedding 1 0 1
weddingfriend 1 0 1
wednesday 0 3 3
weds 0 1 1
wee 0 1 1
weed 0 6 6
week 33 37 70
weekend 2 14 16
weekends 3 2 5
weekly 17 0 17
weeks 5 3 8
weigh 0 2 2
weighed 0 1 1
weight 0 6 6
weightloss 0 1 1
weird 0 3 3
weirdest 0 2 2
weirdo 0 1 1
weiyi 0 1 1
welcome 6 3 9
welcomes 0 1 1
well 3 75 78
wellda 0 1 1
welp 0 2 2
wen 0 15 15
wendy 0 1 1
went 0 37 37
wer 0 2 2
were 2 32 34
werebored 0 1 1
weren 0 1 1
werethe 0 1 1
wesley 0 1 1
wesleys 0 1 1
west 0 1 1
western 0 1 1
westlife 1 0 1
westonzoyland 0 1 1
westshore 0 1 1
wet 2 3 5
wetherspoons 0 1 1
whassup 0 1 1
what 14 159 173
whatever 0 9 9
whats 1 10 11
whatsup 0 2 2
wheel 0 1 1
wheellock 0 1 1
when 8 172 180
whenever 0 6 6
whenevr 0 1 1
where 2 73 75
whereare 0 1 1
wherever 0 2 2
wherre 0 1 1
whether 0 2 2
which 4 30 34
while 3 17 20
whilltake 0 1 1
white 0 3 3
whn 0 2 2
who 23 41 64
whole 0 13 13
whom 0 2 2
whos 0 2 2
whose 1 1 2
whr 0 1 1
why 7 46 53
wicked 0 1 1
wicklow 2 0 2
wid 2 13 15
wif 0 14 14
wife 0 15 15
wifi 0 1 1
wihtuot 0 1 1
wikipedia 0 1 1
wil 0 7 7
wild 1 0 1
wildlife 0 1 1
will 26 190 216
willing 0 4 4
win 48 5 53
winaweek 2 0 2
winawk 2 0 2
wind 0 2 2
window 0 1 1
windows 0 2 2
windy 0 1 1
wine 0 7 7
wined 0 1 1
wings 1 0 1
winner 10 0 10
winnersclub 1 0 1
winning 0 1 1
wins 1 2 3
winterstone 0 1 1
wipe 0 1 1
wipro 0 2 2
wisdom 0 1 1
wise 0 2 2
wish 2 25 27
wisheds 0 1 1
wishes 0 6 6
wishin 0 2 2
wishing 0 7 7
wiskey 0 2 2
wit 0 6 6
with 62 158 220
withdraw 0 1 1
wither 1 0 1
within 4 4 8
without 0 13 13
witin 0 1 1
witot 0 1 1
wiv 2 4 6
wizzle 0 1 1
wkend 0 1 1
wkent 2 0 2
wkg 0 3 3
wkly 9 0 9
wks 0 2 2
wld 0 2 2
wnevr 0 1 1
wnt 0 5 5
woke 0 7 7
woken 0 1 1
woman 1 2 3
womdarfull 0 1 1
women 1 2 3
won 48 12 60
wondar 0 1 1
wondarfull 0 1 1
wonder 0 7 7
wonderful 0 7 7
wondering 0 5 5
wonders 0 3 3
wont 0 23 23
woods 1 0 1
woohoo 0 1 1
woould 0 1 1
woozles 0 1 1
word 18 6 24
words 0 12 12
work 3 58 61
workage 0 1 1
workand 0 1 1
workin 0 4 4
working 0 19 19
works 0 1 1
world 2 24 26
worlds 1 1 2
worried 0 9 9
worries 0 7 7
worry 0 19 19
worrying 0 1 1
worse 0 3 3
worst 0 1 1
worth 10 4 14
worthless 0 1 1
worzels 0 1 1
wot 0 14 14
wotu 0 1 1
wotz 0 1 1
woul 0 1 1
would 2 42 44
wouldn 0 2 2
wow 1 6 7
wrc 1 0 1
wrecked 0 1 1
wrench 0 1 1
wright 0 1 1
write 0 4 4
writhing 0 1 1
wrk 0 1 1
wrking 0 1 1
wrks 0 1 1
wrnog 0 1 1
wrong 0 9 9
wrongly 0 1 1
wrote 1 0 1
wtc 0 1 1
wtf 0 2 2
wud 0 2 2
wuld 0 1 1
wuldnt 0 1 1
wun 0 6 6
www 59 1 60
wylie 0 1 1
xam 0 2 2
xavier 0 3 3
xchat 3 0 3
xclusive 1 0 1
xmas 8 5 13
xoxo 0 1 1
xuhui 0 1 1
xxsp 1 0 1
xxuk 1 0 1
xxx 10 15 25
xxxmobilemovieclub 1 0 1
xxxx 0 3 3
xxxxx 0 1 1
xxxxxx 1 0 1
xxxxxxx 1 1 2
xxxxxxxx 0 1 1
xxxxxxxxx 2 0 2
xxxxxxxxxxxxxx 0 1 1
yahoo 2 4 6
yalru 0 1 1
yam 0 1 1
yan 0 4 4
yar 0 10 10
yarasu 0 2 2
yavnt 0 1 1
yaxx 0 1 1
